Name,Info1,Info2,Discount %,Price,Rating,Release
A Story About My Uncle,,,-80%,"R$ 9,39",89.82%,May 2014
Black Book,,,-60%,"R$ 31,99",89.81%,Aug 2021
Serious Sam Fusion 2017 (beta),,,-90%,"R$ 5,99",89.75%,—
Thief™ II: The Metal Age,,,-86%,"R$ 4,05",89.74%,Mar 2000
Rock Simulator,Week Long Deal,"all-time low: R$ 1,39 at -69%",-50%,"R$ 3,49",89.74%,Nov 2019
Melody's Escape,Week Long Deal,"2-year low: R$ 5,77",-75%,"R$ 8,24",89.73%,May 2016
Child of Light,,,-70%,"R$ 13,49",89.64%,Apr 2014
Men of War: Assault Squad 2,,,-80%,"R$ 17,79",89.59%,May 2014
Genital Jousting,,,-89%,"R$ 2,58",89.50%,Jan 2018
Escape Dungeon 2,,,-50%,"R$ 27,49",89.40%,Jan 2022
Road 96 🛣️,,,-75%,"R$ 24,00",89.35%,Aug 2021
Lovers in a Dangerous Spacetime,,,-50%,"R$ 13,99",89.35%,Sep 2015
Just Cause 2,,,-90%,"R$ 6,49",89.27%,Mar 2010
TY the Tasmanian Tiger 2,Week Long Deal,"all-time low: R$ 10,14 at -65%",-50%,"R$ 14,49",89.07%,Dec 2017
Siralim 3,,,-50%,"R$ 23,49",89.05%,Oct 2018
FlatOut,,,-80%,"R$ 13,99",89.04%,Jul 2005
Dropsy,,,-90%,"R$ 3,29",88.99%,Sep 2015
Heroes of Might & Magic V: Tribes of the East,,,-75%,"R$ 7,49",88.97%,Oct 2007
Touhou Genso Wanderer -Reloaded-,,,-50%,"R$ 69,99",88.97%,Oct 2018
Lara Croft GO,,,-80%,"R$ 8,29",88.96%,Dec 2016
Rampage Knights,,,-60%,"R$ 16,79",88.94%,Sep 2015
Furry Shades of Gay 2: A Shade Gayer,,,-50%,"R$ 16,49",88.90%,Dec 2021
Pumpkin Jack,,,-75%,"R$ 22,24",88.81%,Oct 2020
Batman: The Enemy Within - The Telltale Series,Week Long Deal,"all-time low: R$ 7,24 at -75%",-50%,"R$ 25,00",88.81%,Aug 2017
NORCO,,,-60%,"R$ 18,79",88.76%,Mar 2022
Dark Messiah of Might & Magic,,,-75%,"R$ 7,49",88.67%,Oct 2006
Golf Peaks,,,-59%,"R$ 15,47",88.67%,Nov 2018
Thumper,Week Long Deal,"all-time low: R$ 7,39 at -80%",-55%,"R$ 16,64",88.64%,Oct 2016
Thief™ Gold,,,-86%,"R$ 4,05",88.62%,Nov 1998
Mutant Year Zero: Road to Eden,Week Long Deal,"all-time low: R$ 26,84 at -70%",-60%,"R$ 36,79",88.55%,Dec 2018
Bridge Constructor Portal,,,-90%,"R$ 3,29",88.53%,Dec 2017
Rogue Glitch Ultra,,,-50%,"R$ 19,24",88.50%,Mar 2021
Super Panda Adventures,Week Long Deal,current 2-year low,-50%,"R$ 5,44",88.39%,Jul 2014
The Witcher 2: Assassins of Kings Enhanced Edition,,,-85%,"R$ 8,99",88.29%,May 2011
Nyan Cat: Lost In Space,,,-50%,"R$ 5,44",88.28%,Dec 2015
Lara Croft and the Guardian of Light,,,-85%,"R$ 6,22",88.24%,Sep 2010
Disc Room,,,-67%,"R$ 15,50",88.19%,Oct 2020
ULTIMATE HARDBASS DEFENCE,,,-80%,"R$ 2,75",88.01%,Apr 2019
Renowned Explorers: International Society,,,-60%,"R$ 14,79",87.98%,Sep 2015
Transport Fever 2,,,-55%,"R$ 48,59",87.96%,Dec 2019
Rift Wizard,,,-50%,"R$ 14,49",87.91%,Sep 2021
No Time to Relax,Week Long Deal,"all-time low: R$ 6,97 at -75%",-50%,"R$ 13,94",87.91%,Feb 2019
Nobody Saves the World,,,-60%,"R$ 29,59",87.88%,Jan 2022
Dealer's Life,,,-50%,"R$ 14,99",87.87%,Jan 2019
The House of Da Vinci 2,Week Long Deal,"all-time low: R$ 15,99 at -60%",-50%,"R$ 29,99",87.76%,May 2020
Sanctum 2,,,-80%,"R$ 9,39",87.74%,May 2013
Ukrainian ball in search of gas,Week Long Deal,"all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",87.71%,Dec 2017
LUFTRAUSERS,,,-80%,"R$ 6,59",87.70%,Mar 2014
Sky Rogue,,,-75%,"R$ 9,24",87.69%,Aug 2017
SPACEPLAN,,,-67%,"R$ 3,46",87.69%,May 2017
Monstrum,,,-70%,"R$ 10,19",87.59%,May 2015
CHANGE: A Homeless Survival Experience,,,-60%,"R$ 14,79",87.57%,May 2020
Assassin’s Creed® IV Black Flag™,,,-70%,"R$ 35,99",87.56%,—
SLUDGE LIFE,,,-80%,"R$ 9,39",87.48%,Jun 2021
Legend of Grimrock 2,Week Long Deal,"2-year low: R$ 10,24",-80%,"R$ 14,20",87.48%,Oct 2014
Heave Ho,,,-60%,"R$ 13,19",87.47%,Aug 2019
Intravenous,,,-70%,"R$ 17,99",87.46%,Jul 2021
Aces & Adventures,,,-57%,"R$ 49,18",87.44%,Feb 2023
RUINER,,,-80%,"R$ 11,99",87.42%,Sep 2017
Space Pirates and Zombies,,,-50%,"R$ 9,99",87.37%,Aug 2011
Human-powered spacecraft,Week Long Deal,"all-time low: R$ 0,66 at -71%",-50%,"R$ 1,74",87.35%,May 2018
The Vagrant,,,-80%,"R$ 2,75",87.34%,Jul 2018
Flamebreak,,,-75%,"R$ 5,17",87.31%,Mar 2016
Red Comrades Save the Galaxy: Reloaded,Week Long Deal,"all-time low: R$ 2,09 at -75%",-75%,"R$ 3,44",87.18%,Feb 2016
LUNA The Shadow Dust,,,-66%,"R$ 40,48",87.16%,Feb 2020
SanctuaryRPG: Black Edition,,,-85%,"R$ 2,48",87.11%,Feb 2015
Faerie Solitaire,Week Long Deal,current 2-year low,-90%,"R$ 2,89",87.04%,Sep 2010
Kandidatos,,,-50%,"R$ 1,74",87.00%,Sep 2020
NEO Scavenger,,,-75%,"R$ 11,74",86.88%,Dec 2014
Diamo XL,Week Long Deal,"all-time low: R$ 1,14 at -50%",-50%,"R$ 1,74",86.79%,Oct 2017
Super Blood Hockey,Week Long Deal,"all-time low: R$ 4,34 at -85%",-80%,"R$ 9,39",86.74%,Aug 2017
